"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","120","17.0905367231638","0.913678439774782","34","9.67450980392157","0","86","20.0922619047619","1.27490014852295"
"201302","229","13.0025185185185","0.970425628843575","72","11.0134259259259","0","157","13.9385620915033","1.41546158602025"
"201303","647","24.3010643821391","1.28578311981508","139","25.3943645083933","0","508","23.9989396951624","1.63760172937078"
"201304","792","23.1377637130802","1.32711978208564","145","22.2832183908046","0","647","23.3298708010336","1.62454229893637"
"201305","1209","25.2759612724758","1.2546576056302","244","20.3728825136612","0","965","26.5208636836629","1.57189745617296"
"201306","2302","23.0001017146178","1.12148794811627","516","22.9892118863049","0","1786","23.0032620922385","1.44550126347349"
"201307","937","22.7963141025641","1.12230930550233","208","27.8467147435897","0","729","21.3533424908425","1.44252924452083"
"201308","831","22.7586449537595","1.10208452198997","189","19.6962962962963","0","642","23.6629947916667","1.42652996537954"
"201309","1035","25.9888296152603","1.14017401363965","250","24.2686","0","785","26.5394793000427","1.50328675683699"
"201310","995","23.8500335683115","1.20708878583882","201","26.2109452736318","0","794","23.2508627946128","1.51266163968467"
"201311","447","17.2570037453184","1.21041461051244","80","19.2627083333333","0","367","16.817397260274","1.47426520680943"
"201312","278","20.141155234657","1.12556309506956","50","11.721","0","228","21.9958149779736","1.37239710714621"
"201401","315","17.0712845010616","1.06020381013975","89","16.2940074906367","0","226","17.3787407407407","1.47771769997355"
"201402","378","19.5264705882353","1.15661802570817","99","10.4671717171717","0","279","22.7878181818182","1.5670308735401"
"201403","637","21.4718372703412","1.22816811826435","149","23.5274049217002","0","488","20.8416323731139","1.60316207240654"
"201404","1020","21.5358898721731","1.3515636152674","199","18.813567839196","0","821","22.1981662591687","1.67916551470493"
"201405","1348","21.7723671137606","1.26404696105732","301","17.2431893687708","0","1047","23.0819564521294","1.6274453710652"
"201406","1329","24.6387003519356","1.30567361375424","288","33.935474537037","0","1041","22.0592485549133","1.66689743773236"
"201407","1394","22.1660551558753","1.20964042848067","318","24.4157756813417","0","1076","21.4986940298507","1.56713639154465"
"201408","964","21.4269989615784","1.23454879244301","247","18.5695006747638","0","717","22.4127560521415","1.65983965957471"
"201409","1309","25.4401885830785","1.27754137896326","290","24.7599425287356","0","1019","25.6339718402096","1.64112037788313"
"201410","1231","22.3870084079197","1.24012979600881","242","27.3207300275482","0","989","21.1773218507261","1.54357914953169"
"201411","679","21.6104938271605","1.2630168793253","156","17.5978632478632","0","523","22.8166024405909","1.63974849151411"
"201412","284","15.355418138987","0.864423678390022","78","6.43354700854701","0","206","18.750081300813","1.19172973137265"
