"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","32","15.6322580645161","1.26102927511116","17","8.44705882352941","0","15","24.3571428571429","2.6901957869038"
"201302","77","13.8929824561404","0.627550872128344","44","9.54318181818182","0","33","19.8739583333333","1.46428536829947"
"201303","127","21.6974867724868","1.38404022774596","39","10.9119658119658","0","88","26.5323754789272","1.99742169231519"
"201304","166","33.4049494949495","0.802931219424151","81","34.2792181069959","0","85","32.5619047619048","1.56807744028717"
"201305","220","26.3928462709285","1.25095864480792","62","20.5182795698925","0","158","28.7127388535032","1.74184115099837"
"201306","524","27.2207535121328","1.07412684414154","118","32.8087570621469","0","406","25.5886138613861","1.38631149342405"
"201307","179","23.3361581920904","1.17916706336487","41","17.1991869918699","0","138","25.1862745098039","1.52949930682835"
"201308","237","27.8142756680731","0.858787693193711","59","32.143220338983","0","178","26.3794007490637","1.14344204093769"
"201309","208","21.6160256410256","0.942093011443899","56","14.8502976190476","0","152","24.1086622807018","1.28917991039691"
"201310","219","26.9626911314985","1.0102071696281","75","22.8733333333333","0","144","29.1074592074592","1.53635673714274"
"201311","129","16.0686351706037","1.31519813526944","39","4.51794871794872","0","90","21.1876893939394","1.88511732721953"
"201312","85","15.4091463414634","0.993426902832307","29","4.42126436781609","0","56","21.4213836477987","1.50788012037047"
"201401","128","9.85286458333333","0.653351055537529","66","1.89191919191919","0","62","18.3274193548387","1.34885379207748"
"201402","128","14.9182414698163","1.11983274585257","52","3.88910256410256","0","76","22.5651111111111","1.886034098278"
"201403","159","24.8244234800839","0.995669001964204","64","11.5268229166667","0","95","33.7828070175439","1.66643548749798"
"201404","216","23.9966049382716","0.98466230097878","75","16.3864444444444","0","141","28.0445626477541","1.5084188440526"
"201405","318","28.4285864978903","1.3629452775453","82","16.1341463414634","0","236","32.7368945868946","1.83651100957375"
"201406","336","25.3292547834844","1.22057136158254","107","20.782554517134","0","229","27.5011160714286","1.79088199778049"
"201407","403","21.3206982543641","1.03017761172407","109","14.3758409785933","0","294","23.9131278538813","1.41211420926802"
"201408","317","23.3328571428571","1.04377683799881","111","16.4588588588589","0","206","27.0731209150327","1.60620027983312"
"201409","297","25.909595959596","1.15696953705797","104","13.2711538461538","0","193","32.7199481865285","1.78041426169024"
"201410","240","19.4097457627119","1.04205864042315","89","16.0805243445693","0","151","21.4253968253968","1.65625214371891"
"201411","188","16.5635304659498","0.834434279074097","77","8.61731601731602","0","111","22.1769113149847","1.41327607626964"
"201412","106","11.0320132013201","0.886908534149703","51","7.73758169934641","0","55","14.3923333333333","1.70931462945215"
