"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","130","15.670641025641","0.784645183453594","38","6.1890350877193","0","92","19.5869565217391","1.1087377592279"
"201302","282","18.43268321513","0.916177856788207","63","9.35449735449735","0","219","21.0442161339422","1.17973587038481"
"201303","865","23.0814491064491","1.1105064305283","141","19.1229314420804","0","724","23.8599023709902","1.32677909172235"
"201304","1085","24.673716108453","1.20941946394178","171","20.8141865079365","0","914","25.4130558722919","1.43568940741447"
"201305","1491","26.6249307479224","1.09248595398181","260","27.1752564102564","0","1231","26.5040822072072","1.32323034718675"
"201306","2618","19.0726993865031","0.917133318234549","424","23.5314465408805","0","2194","18.2070818070818","1.09437330316228"
"201307","990","30.1876803942274","1.14595979428929","156","26.7955913978495","0","834","30.8515361952862","1.36031198602686"
"201308","976","20.0533859649123","1.04526217974255","189","17.0465608465608","0","787","20.8001533070521","1.29628448212037"
"201309","1585","19.9056613756614","0.953251397810756","242","13.745041322314","0","1343","21.0240935233808","1.1250211954803"
"201310","2017","19.7732976736288","0.952761499922099","347","20.3098943323727","0","1670","19.6580754950495","1.15073050619334"
"201311","1273","19.4605463619648","0.871302411048222","182","17.1069597069597","0","1091","19.8546151487274","1.01665258411035"
"201312","815","19.1407039337474","0.887097671637691","196","5.99770408163265","0","619","23.3706349206349","1.16798804908678"
"201401","545","17.3162071078431","0.993829181843715","217","5.87073732718894","0","328","24.9115188583079","1.65133202470983"
"201402","579","16.8137820512821","0.996065979116143","191","9.72085514834206","0","388","20.3695538057743","1.48639742759857"
"201403","1342","20.7995416348358","1.09741346997512","264","13.7196338383838","0","1078","22.5881499202552","1.3661677891527"
"201404","1680","20.4881690431907","1.10872512384817","354","17.3908662900188","0","1326","21.3590548054011","1.40471961392528"
"201405","1740","22.3928739693757","1.0987534250847","269","19.1737562189055","0","1471","22.9961771561772","1.2996811418405"
"201406","1517","23.0688988095238","1.16103461352936","267","13.3696226415094","0","1250","25.2270081164288","1.40903160697924"
"201407","1594","23.9541420765027","1.10004521480094","236","15.3542372881356","0","1358","25.5286785621929","1.29121654815368"
"201408","1003","23.7896303901437","1.05240656676648","263","14.2448035487959","0","740","27.3202766057196","1.42643754927943"
"201409","1740","22.1894594594595","1.12648645559164","253","17.167325428195","0","1487","23.0893177525968","1.31814823989876"
"201410","1763","20.6905880106911","0.906187448420348","300","18.119","0","1463","21.224112494237","1.09200852465145"
"201411","1339","19.8070868134649","0.970409032369706","271","10.2420049200492","0","1068","22.2852294455067","1.21664578122007"
"201412","570","15.141221826809","0.665944160498607","236","3.50621468926554","0","334","23.5641104294479","1.13649153138984"
