"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201310","272","43.7703431372549","1.63918390756788","73","38.4657534246575","0","199","45.7162479061977","2.2404925771782"
"201311","386","26.8468421052632","1.62005182279728","109","11.0920489296636","0","277","33.1836408364084","2.25754513934928"
"201312","207","21.5439837398374","1.30331195292171","72","13.0662037037037","0","135","26.1334586466165","1.99841166114662"
"201401","197","22.0692176870748","1.41585891601815","80","4.90520833333333","0","117","33.9064655172414","2.38396757654338"
"201402","219","26.8694316436252","1.69837355841998","70","8.39714285714286","0","149","35.6657596371882","2.49626717646963"
"201403","363","35.8947658402204","1.75789565338971","108","22.0291666666667","0","255","41.7672549019608","2.50241616541359"
"201404","652","31.9991039426523","1.78548286131191","166","23.3073293172691","0","486","34.9740206185567","2.39533914727441"
"201405","710","36.9108191287879","2.04806751339395","168","16.9705588822355","0","542","43.1119801365611","2.68289286809908"
"201406","652","34.1119414483821","1.93495751595981","143","13.7398601398601","0","509","39.8692687747036","2.47857033478546"
"201407","573","34.0024018746339","1.80543074836361","124","20.9134408602151","0","449","37.6496629213483","2.30403523120791"
"201408","495","33.5478319783198","1.98096708431228","119","16.4049019607843","0","376","39.0170241286863","2.6079220923792"
"201409","545","34.5675551470588","1.89744466427868","138","16.6056763285024","0","407","40.6728243021347","2.54080428017661"
"201410","555","33.0252406738869","1.88364124864898","155","11.3139784946237","0","400","41.459440267335","2.61355223250046"
"201411","340","27.4869543650794","1.75800280585473","109","12.847247706422","0","231","34.5165932452276","2.58753659736193"
"201412","122","21.2886554621849","1.09189616483045","59","2.63587570621469","0","63","39.6305555555556","2.11446558903675"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
