"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","335","19.3207462686567","1.10093106606486","63","7.70952380952381","0","272","22.0101102941176","1.35592612916076"
"201302","590","24.7060837577815","1.21329226870735","101","11.763201320132","0","489","27.3848360655738","1.46389046735651"
"201303","1532","29.2763387978142","1.3015108861258","248","22.1398521505376","0","1284","30.6622813886714","1.5528930510473"
"201304","1820","28.548735568994","1.299945618491","255","21.1954248366013","0","1565","29.7476449275362","1.51175784386812"
"201305","2620","31.9295073576456","1.36385963882474","417","22.1719824140687","0","2203","33.7891453382084","1.62202099578794"
"201306","4262","29.6289275634995","1.38677569233086","594","18.3281705948373","0","3668","31.4639876070713","1.61135169048913"
"201307","1833","25.4912785388128","1.24102969834358","255","16.2532679738562","0","1578","26.9917197452229","1.44157632260062"
"201308","1689","25.4853092274254","1.2068060032803","242","20.1183884297521","0","1447","26.3841291810842","1.40863534176947"
"201309","1898","30.3430731364276","1.31478238062723","246","24.3562330623306","0","1652","31.2356565656566","1.51056716612015"
"201310","2323","28.8187023449863","1.38849889518593","327","19.4261467889908","0","1996","30.3621021775544","1.61597341358563"
"201311","1099","22.6107825295723","1.34819641007291","135","12.1282716049383","0","964","24.0787690179806","1.53699984924287"
"201312","693","18.0650483091787","1.23480931754112","118","7.49689265536723","0","575","20.2451923076923","1.48821366444521"
"201401","633","21.1750924458531","1.26570062069995","107","5.05171339563863","0","526","24.4674618320611","1.52317203973967"
"201402","727","22.6648735632184","1.24968748497922","112","13.2316964285714","0","615","24.3883904295813","1.47727284809739"
"201403","896","30.7876163873371","1.34401454640277","143","20.2254079254079","0","753","32.7961214539007","1.599252368628"
"201404","2033","29.970716280598","1.42041761777536","354","15.9155838041431","0","1679","32.9411741293532","1.71989816375063"
"201405","2981","31.8005273196455","1.45494145632307","474","19.8231364275668","0","2507","34.0741690028034","1.73002811380098"
"201406","2334","29.3076978006284","1.42431075251445","365","20.2353424657534","0","1969","30.9894701201964","1.68833991689625"
"201407","2401","31.153785664579","1.41629855175749","325","21.5361538461538","0","2076","32.6638003220612","1.63802159092954"
"201408","1666","29.7518641010222","1.37930040164648","295","19.3130508474576","0","1371","32.0029239766082","1.67608641075349"
"201409","2330","29.4329895430454","1.37596576870342","404","19.7623762376238","0","1926","31.4646732535968","1.66458994863913"
"201410","2026","30.9633119024069","1.41805807036398","326","19.60081799591","0","1700","33.1473761792453","1.68999155915143"
"201411","1103","21.4946776155718","1.31530478838884","152","8.26633771929825","0","951","23.6246645480226","1.5255322624531"
"201412","406","18.6502487562189","1.10019147798983","107","5.67461059190031","0","299","23.3566666666667","1.49390548516345"
