"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","13980","21.8983524182249","1.16419133502154","3688","12.7989145183175","0","10292","25.2140281485876","1.58136366727566"
"201302","26860","23.7542483292736","1.19642369263693","7319","17.3748667486675","0","19541","26.1643028018725","1.64453919370697"
"201303","66912","28.760931816132","1.30945739249505","16179","29.6377264016814","0","50733","28.4792200440922","1.72704971215242"
"201304","80400","28.8569377850666","1.40521091766261","17569","28.7761192754614","0","62831","28.8797038546497","1.79814037306542"
"201305","118054","32.694873938112","1.41770717922204","26149","32.8290751511441","0","91905","32.6563796509714","1.82107614749882"
"201306","213720","29.6198766662905","1.3848866167545","44342","33.4523775151132","0","169378","28.6104513732107","1.74744044523357"
"201307","94192","28.4521812922302","1.35006414472554","19039","30.8340585041163","0","75153","27.8450104706665","1.69208470613266"
"201308","90968","28.9351865158768","1.3283138230765","18740","30.9773406640333","0","72228","28.4017772076833","1.67295303563193"
"201309","98199","30.3279004329004","1.36712008043674","21201","30.8347742645902","0","76998","30.1876829852045","1.74354950490672"
"201310","117969","28.4088422136686","1.42766597181022","24424","29.0168939487011","0","93545","28.2487557951482","1.80042040759506"
"201311","69644","23.9715886692979","1.41842503788448","14143","19.4696638615845","0","55501","25.1284854982918","1.77987411647405"
"201312","42228","19.8114869011469","1.26100513849081","10543","10.7770999367489","0","31685","22.8553905742203","1.68059728540918"
"201401","43981","19.9469505988597","1.19390143765008","13817","9.23810988851889","0","30164","24.9209570402251","1.74078302377961"
"201402","49405","23.0782461507087","1.3065664011819","13135","15.0089463397299","0","36270","26.0296999322248","1.77973292115775"
"201403","80723","28.3276733872811","1.4374567663347","20625","23.380755738765","0","60098","30.039719877142","1.93077677375014"
"201404","119079","29.2647180570222","1.53074560380388","28495","25.5423021111267","0","90584","30.4442498878271","2.01227209833262"
"201405","153771","31.2653295257037","1.52637623094746","36927","29.3000099324593","0","116844","31.8911262057762","2.00876724015801"
"201406","136198","29.9074577276846","1.50673093303189","31933","28.6503487886383","0","104265","30.2952623253956","1.9681939252585"
"201407","143695","29.0390128500716","1.46895890393635","32645","26.9685544900273","0","111050","29.6530317347823","1.90078387844334"
"201408","100483","29.2730088539893","1.40063698099939","25978","25.4709668104112","0","74505","30.6097712197103","1.88900349992298"
"201409","129354","29.4495952083026","1.44445645529459","30699","27.1186226595421","0","98655","30.1798040316407","1.89393563750622"
"201410","122057","27.9611538303215","1.46023243238316","27542","24.0111960535077","0","94515","29.1190595833777","1.88574924614497"
"201411","73455","23.0275575500137","1.33951530016604","17699","14.8010362499058","0","55756","25.6600205590122","1.76472660114958"
"201412","32677","17.7665620760715","1.03562360336706","11924","6.27462661520389","0","20753","24.5230559255422","1.630659301654"
