"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","195","19.6871794871795","1.21007884411051","50","11.8106666666667","0","145","22.4032183908046","1.62734741104516"
"201302","373","22.5106182795699","1.24074695467044","98","11.9681972789116","0","275","26.2812652068127","1.68290405124391"
"201303","850","29.6113600628931","1.54033874710299","157","22.6910828025478","0","693","31.1836951278341","1.88930437956355"
"201304","1171","28.1986872146119","1.60021545595308","162","32.6650205761317","0","1009","27.4794565937707","1.85713805641334"
"201305","2017","28.9045492142266","1.47299519277149","276","38.8731280193237","0","1741","27.322417097949","1.70650850305577"
"201306","4208","25.5255476190476","1.42429696409674","566","33.7943262411348","0","3642","24.2429317931793","1.64564569602391"
"201307","1820","25.8634048011728","1.43063465163955","226","31.2511799410029","0","1594","25.0990374555346","1.63347243788205"
"201308","1861","24.7050744127667","1.47160132179984","219","32.3261796042618","0","1642","23.6873780487805","1.66787457970128"
"201309","1661","28.2285124798712","1.48074984387265","242","29.9779614325069","0","1419","27.9291018387553","1.73328082499822"
"201310","1961","26.662416964742","1.5542199550398","243","25.5748971193416","0","1718","26.8165985997666","1.77405432586324"
"201311","1044","21.1954094689699","1.51931587557265","104","16.1705128205128","0","940","21.7525408670931","1.68741039797643"
"201312","609","20.4175178473366","1.38521303614661","101","14.6851485148515","0","508","21.5617259552042","1.66061956498678"
"201401","628","18.8210133333333","1.30424251053503","138","7.49915458937198","0","490","22.0292607802875","1.67155978901225"
"201402","661","18.6092451874367","1.40874842471482","103","10.6022653721683","0","558","20.0952252252252","1.66878621637365"
"201403","1122","28.300163836759","1.49810491148835","196","21.9914115646258","0","926","29.6398338750451","1.81519839167379"
"201404","1651","26.8983606557377","1.50937151404336","246","26.5620596205962","0","1405","26.9574113728289","1.77364581472284"
"201405","2239","28.8377275440167","1.61787895187159","353","32.0052407932011","0","1886","28.2432925748715","1.92069510776272"
"201406","2137","29.144684177611","1.50247748899254","378","30.0600088183422","0","1759","28.9474249334854","1.82535212846905"
"201407","2011","26.5966118584953","1.49286001859745","314","27.4454883227176","0","1697","26.4391710966726","1.76908750583352"
"201408","1332","29.7546149987459","1.50757581095291","216","31.0047067901235","0","1116","29.5120095837077","1.79936467758896"
"201409","1790","28.7045310164425","1.55808426756145","281","29.0239027283511","0","1509","28.6448214681748","1.84822454535123"
"201410","1702","26.7358755398508","1.51425773123878","245","21.9602040816327","0","1457","27.5411332874512","1.76888583292272"
"201411","1039","21.3106718097075","1.40030067909586","159","20.4027253668763","0","880","21.4750949126803","1.65330955179613"
"201412","420","17.5549397590361","0.955888320337377","127","5.62007874015748","0","293","22.8178819444444","1.37021533973276"
