"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","29","21.352380952381","1.07555011561203","10","4.03833333333333","0","19","30.9712962962963","1.64162912382888"
"201302","110","16.0853211009174","1.11168381522015","36","1.47916666666667","0","74","23.2883561643836","1.65250296857049"
"201303","300","29.9453020134228","1.40206589709721","63","24.7119047619048","0","237","31.3482978723404","1.7747669583509"
"201304","111","24.4960244648318","1.36664467709497","13","46.1294871794872","0","98","21.5664930555556","1.54793427711777"
"201305","277","32.4576363636364","1.39756007608164","40","36.78125","0","237","31.7217021276596","1.63343519440766"
"201306","656","23.8518575851393","1.49705049172677","112","6.88452380952381","0","544","27.4105493133583","1.80526676943522"
"201307","277","25.0829121540313","1.45690165691428","56","14.4741071428571","0","221","27.7711161387632","1.82607130753509"
"201308","230","26.3713973799127","1.46741042460028","51","10.4300653594771","0","179","30.9388576779026","1.88549942825734"
"201309","287","29.8949477351916","1.55701474979244","57","12.3485380116959","0","230","34.2434057971015","1.94288362256709"
"201310","383","27.5198600174978","1.29872415405675","87","16.938122605364","0","296","30.6511904761905","1.68044375339099"
"201311","161","22.5389240506329","1.35138333710335","44","11.4481060606061","0","117","26.8195906432749","1.85959587413367"
"201312","136","16.6251851851852","1.03424317572871","55","3.38060606060606","0","81","25.7308333333333","1.73650706048278"
"201401","120","12.9954415954416","0.820128619981819","65","1.74307692307692","0","55","27.0608974358974","1.78937153450579"
"201402","138","21.0632352941176","1.32689428975974","45","1.9437037037037","0","93","30.5179487179487","1.96893991383703"
"201403","219","31.4903669724771","1.40118685737008","65","7.34641025641026","0","154","41.7476034858388","1.99259689457174"
"201404","367","23.1723599632691","1.47555908651914","96","10.2125","0","271","27.8320848938826","1.99826636440046"
"201405","453","27.9976985894581","1.4887771884003","120","12.91625","0","333","33.4985309017224","2.02527347250851"
"201406","355","28.7340375586854","1.4489174080521","95","20.7356140350877","0","260","31.6565384615385","1.97832953791729"
"201407","375","30.7580862533693","1.59240909366865","98","13.8744897959184","0","277","36.8188644688645","2.15578848420846"
"201408","256","23.6820209973753","1.35036413009147","75","13.1977777777778","0","181","28.0748603351955","1.90990727791943"
"201409","373","25.7182305630027","1.32044470093537","130","14.2787179487179","0","243","31.838134430727","2.02685544629174"
"201410","274","22.9691789215686","1.23053134958835","98","11.3176870748299","0","176","29.5315134099617","1.91571357833641"
"201411","156","19.952688172043","1.48035240351775","60","2.20777777777778","0","96","31.16","2.40557265571634"
"201412","97","15.025","1.18279209014092","52","0.405128205128205","0","45","33.1257936507937","2.54957406097043"
