"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201310","165","29.8711111111111","1.54612041909595","57","13.5836257309942","0","108","38.4672839506173","2.36212841806326"
"201311","201","22.7510942760943","1.30689348264091","53","24.0622641509434","0","148","22.2718390804598","1.77490263520826"
"201312","147","17.6577011494253","1.22918287513312","46","6.81304347826087","0","101","22.696632996633","1.78900873905513"
"201401","201","19.6431818181818","1.14680283079715","83","9.98032128514056","0","118","26.6172463768116","1.95345227957819"
"201402","213","24.8036949685535","1.25434007565235","82","17.5969512195122","0","131","29.3494871794872","2.03949951232023"
"201403","263","30.5781806615776","1.51324263416025","89","17.0719101123596","0","174","37.526493256262","2.28725754473647"
"201404","418","30.138209432454","1.71489453709012","109","14.7744648318043","0","309","35.5753787878788","2.31982497250379"
"201405","554","34.4156079854809","1.61959111760815","142","22.4147887323944","0","412","38.5821515892421","2.17779970668668"
"201406","489","32.3887517146776","1.49220760262147","125","26.6262666666667","0","364","34.3840720221607","2.00464153209312"
"201407","514","31.9680419122462","1.44918007471124","131","24.6849872773537","0","383","34.4920634920635","1.94485263290229"
"201408","379","31.2320070733864","1.34227216361689","125","21.0574666666667","0","254","36.2789021164021","2.00283917327087"
"201409","486","31.9299376299376","1.65267162152009","134","22.4323383084577","0","352","35.5975984630163","2.28181365925784"
"201410","450","27.6830734966592","1.42520774051556","133","21.4640350877193","0","317","30.3005801687764","2.02316556224606"
"201411","253","30.6755952380952","1.19148319244311","89","10.2181647940075","0","164","41.8456032719836","1.83808077858602"
"201412","115","16.3304093567251","0.59460503722303","76","11.8883771929825","0","39","25.2144736842105","1.75332254565765"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
