"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","55","18.9330188679245","1.21769540884338","15","8.07777777777778","0","40","23.2179824561404","1.67433118715964"
"201302","124","28.6384297520661","1.03147275207094","55","32.9730303030303","0","69","25.0262626262626","1.85366117763473"
"201303","313","36.1483386923901","1.27186834734183","97","43.2061855670103","0","216","32.9492211838006","1.84303144776848"
"201304","321","35.7122395833333","1.29644505827395","86","37.2571705426357","0","235","35.1444444444444","1.7708887817274"
"201305","458","45.3626373626374","1.66632023676708","111","60.0156156156156","0","347","40.634496124031","2.19935062950813"
"201306","980","38.0352800546448","1.57261872945321","258","46.6147286821705","0","722","34.9524141132776","2.13457943887001"
"201307","423","44.2517063492064","1.66493484150152","103","45.1724919093851","0","320","43.952523659306","2.20083574360982"
"201308","384","35.7410590277778","1.4121296563284","88","54.6371212121212","0","296","30.1233108108108","1.8319519865882"
"201309","374","33.6066308243728","1.56584002737164","88","43.5327651515152","0","286","30.5309272300469","2.0476369588706"
"201310","399","39.0634340890008","1.76204759154073","87","43.2342911877395","0","312","37.8929032258064","2.25338778533574"
"201311","259","37.3308785529716","1.62274981773613","71","14.4345070422535","0","188","46.0241532976827","2.23559682337052"
"201312","206","20.5906957928803","1.16112253756697","66","8.7209595959596","0","140","26.1864285714286","1.70850887670568"
"201401","180","15.2125240847784","1.14602711933718","63","5.11798941798942","0","117","20.9939393939394","1.76311864513413"
"201402","255","25.2614173228346","1.60149885949932","85","9.79176470588235","0","170","33.0420118343195","2.40224828924899"
"201403","313","22.3514376996805","1.5304498357664","93","15.555017921147","0","220","25.2244696969697","2.17741272088584"
"201404","434","27.7797370456303","1.86798922961053","121","20.7084022038567","0","313","30.5398387096774","2.59011925128106"
"201405","598","31.8657983193277","1.59748267033912","157","35.5117521367521","0","441","30.5701974183751","2.16620099061858"
"201406","506","27.3076872100729","1.69365278562091","115","22.9963768115942","0","391","28.5855240549828","2.19178595786235"
"201407","638","29.4451775304716","1.32670081308144","174","38.8234674329502","0","464","25.8587545787546","1.82421361798698"
"201408","423","30.2483412322275","1.25885338069669","136","26.0872549019608","0","287","32.2270396270396","1.85538320569582"
"201409","590","31.1372515616127","1.38461139841313","148","29.5628378378378","0","442","31.6680334092635","1.84823693453337"
"201410","518","27.7618310767247","1.13876369842718","148","33.6379504504505","0","370","25.4050135501355","1.59426917779805"
"201411","297","22.4261904761905","1.19830372527551","87","10.4224137931034","0","210","27.4712560386473","1.69474384003251"
"201412","164","16.4037037037037","0.798608008005755","65","1.64615384615385","0","99","26.2927835051546","1.32294659912065"
