"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201310","194","38.1662348877375","1.98590115081778","78","28.4762820512821","0","116","44.7385507246377","3.32124847636766"
"201311","231","35.6953744493392","2.04543446475275","73","25.9146118721461","0","158","40.33170995671","2.99047697061952"
"201312","123","21.2894808743169","1.38907202615426","48","9.93923611111111","0","75","28.6518018018018","2.27807812289298"
"201401","157","18.9770967741935","1.25288038291126","80","2.94208333333333","0","77","36.0811111111111","2.55457428723465"
"201402","160","27.4092948717949","1.98570954405944","62","9.46021505376344","0","98","39.2480496453901","3.24197476581133"
"201403","266","32.2795739348371","2.00294786410999","84","19.5869047619048","0","182","38.1377289377289","2.92738533985307"
"201404","400","33.5446140797286","2.19511738274442","122","28.9342896174863","0","278","35.620110701107","3.1584422773301"
"201405","437","39.2784496124031","2.27170387116114","143","33.5128205128205","0","294","42.1512195121951","3.37664827107965"
"201406","463","37.4296739130435","2.14526303956945","150","35.6294444444444","0","313","38.300752688172","3.1733443684366"
"201407","431","37.5447965571205","2.18204160522981","139","30.2441247002398","0","292","41.0806620209059","3.22075319128098"
"201408","338","37.8416666666667","2.14168233462848","141","25.9127659574468","0","197","46.5565630397237","3.674561569058"
"201409","441","37.6447749809306","2.09173557321306","135","27.5503703703704","0","306","42.157174392936","3.01456009080706"
"201410","431","31.6690310077519","1.91234655121902","155","22.6839784946237","0","276","36.7333333333333","2.98630928831666"
"201411","211","32.4606280193237","2.28740595447732","79","6.8746835443038","0","132","48.251953125","3.65638376056602"
"201412","121","16.8856944444444","1.83578913205254","60","4.2975","0","61","29.4738888888889","3.64148336030093"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
