"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","134","18.1062189054726","1.21669856885919","26","1.58397435897436","0","108","22.0837962962963","1.50960748358455"
"201302","329","26.2220871327254","1.34944789632776","60","20.0725","0","269","27.5937422552664","1.65043999216295"
"201303","883","26.0836370539104","1.33843217997875","140","12.6365476190476","0","743","28.6345754290876","1.59062666880381"
"201304","944","29.0623319179052","1.47840707791323","133","36.5577694235589","0","811","27.8300782859497","1.7208585469175"
"201305","1546","28.5894861830743","1.43858026976568","251","17.6717131474104","0","1295","30.7088682650168","1.71740934135733"
"201306","2588","28.138518231187","1.51741254108332","284","26.5568075117371","0","2304","28.3343359488521","1.70445471194602"
"201307","1130","26.5806246299586","1.39058172478581","127","15.3457671957672","0","1003","27.9962166666667","1.56665737687734"
"201308","1043","29.478717948718","1.40760128461098","157","25.4127388535032","0","886","30.2016610041525","1.65702950321586"
"201309","1132","27.7066018272915","1.47748938726034","172","28.6894379844961","0","960","27.5303267292318","1.74220623581115"
"201310","1342","24.7964899178491","1.47203731466274","157","24.9233545647558","0","1185","24.7796390298928","1.66706673103578"
"201311","815","19.639591002045","1.32888077186589","120","9.57902777777778","0","695","21.3766666666667","1.55832781161252"
"201312","501","19.5001002004008","1.21526421180629","96","11.8368055555556","0","405","21.3255996691481","1.50332683979"
"201401","470","17.8038379530917","1.32667918042159","121","7.32011019283747","0","349","21.4490421455939","1.78664531460788"
"201402","540","22.9142238713667","1.41099662735418","88","7.26837121212121","0","452","25.9670731707317","1.68570393533464"
"201403","855","26.9084507042254","1.62334102022616","128","15.2647135416667","0","727","28.9670119705341","1.90915622048606"
"201404","1335","28.5888347086772","1.63220259707076","230","17.6197826086957","0","1105","30.8761257177395","1.97193707428911"
"201405","1792","29.0175438596491","1.54569034724963","314","14.41008492569","0","1478","32.1335371376812","1.87407111114435"
"201406","1457","29.7457388316151","1.60953726278734","233","17.3025862068966","0","1224","32.1061733442355","1.91592793454343"
"201407","1611","26.1413291796469","1.49794253392911","259","17.3169240669241","0","1352","27.839338781575","1.78490046017736"
"201408","1230","25.3508020663404","1.36435444914547","255","21.0743137254902","0","975","26.4738757294885","1.72118561276813"
"201409","1625","28.0828917642226","1.47474737013515","295","24.4032768361582","0","1330","28.9002761044177","1.80185298982678"
"201410","1624","24.9383271681052","1.42390762390309","252","16.7732804232804","0","1372","26.4402189781022","1.68544167727305"
"201411","1043","20.5857668908101","1.30903822210138","174","19.5364942528736","0","869","20.7963475586313","1.57114714114124"
"201412","408","15.0178600823045","1.05333548335859","97","2.55481099656357","0","311","18.9429112554113","1.3818677723804"
