"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","41","18.5646341463415","0.689238615696503","21","9.20793650793651","0","20","28.3891666666667","1.41293916217783"
"201302","189","20.2449735449735","1.08892124357111","61","21.577868852459","0","128","19.609765625","1.60786027371046"
"201303","489","26.9828893442623","1.3341150390148","123","34.9432249322493","0","366","24.3003652968037","1.78246517507715"
"201304","522","24.4828507078507","1.58715329972357","108","31.4888888888889","0","414","22.6373577235772","2.00119329095581"
"201305","789","32.0698473282443","1.42163532173668","239","36.8305439330544","0","550","29.9897623400366","2.03940048881862"
"201306","1416","25.5319915254237","1.40619712825715","298","38.7464205816555","0","1118","22.0097197376267","1.78101532523446"
"201307","732","23.687135701275","1.26389151323122","200","25.9971666666667","0","532","22.8187030075188","1.7390386986565"
"201308","646","25.2199534161491","1.17675326964422","205","37.6886178861789","0","441","19.397456340167","1.72377009566931"
"201309","623","24.2882368703108","1.30058409284664","149","31.6998881431767","0","474","21.953488372093","1.70941748912122"
"201310","728","23.5436355311355","1.49573169288358","159","25.4079664570231","0","569","23.0226713532513","1.91369538210764"
"201311","466","16.8073476702509","1.57553445179415","89","18.7715355805243","0","377","16.342420212766","1.94747759823892"
"201312","334","15.9808734939759","1.40001006998597","75","6.95244444444444","0","259","18.6156290531777","1.80541839141048"
"201401","298","18.4351290684624","1.0949104512195","97","14.8341924398625","0","201","20.1815833333333","1.62330007195727"
"201402","254","15.7708994708995","1.29836954609199","79","9.49831223628692","0","175","18.6352601156069","1.88449065547067"
"201403","413","21.3330081300813","1.57365108065309","139","17.9609112709832","0","274","23.0626076260763","2.37196312521798"
"201404","576","26.7110336817654","1.58264619502162","151","25.735651214128","0","425","27.059219858156","2.1449510784293"
"201405","779","23.8770484770485","1.43824604930233","196","27.012925170068","0","583","22.8191623637407","1.92177302299574"
"201406","673","30.590977443609","1.38704125404634","201","38.7218905472637","0","472","27.06875","1.9777092457059"
"201407","698","24.8206292026897","1.347988922043","205","32.8226829268293","0","493","21.4659850034083","1.90851169895743"
"201408","464","24.2680072463768","1.25292044815783","157","23.8255838641189","0","307","24.4972497249725","1.89366478158056"
"201409","655","26.3021216768916","1.54038007621478","157","31.3908704883227","0","498","24.6881144781145","2.02600190747125"
"201410","576","21.6714202898551","1.40845165562626","141","24.3814420803782","0","435","20.790975422427","1.86498426124305"
"201411","353","16.2141098484848","1.35591859971339","94","6.4508865248227","0","259","19.7712532299742","1.84802805289122"
"201412","175","13.2350877192982","1.06619964898764","71","3.07793427230047","0","104","20.4466666666667","1.79408594781575"
