"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","0.100985390468187","0.0838736030261556","0.115905603783681","0.435071053219493","0.387935666439804","0.471194397070884","0.00001820050973169","0.000014818656688771","0.00002126566524037"
"2","0.112410978519426","0.0938830307242292","0.128565978944668","0.480966673466018","0.431005301429237","0.519255779479032","0.00102627390358074","0.000906407834129836","0.00113491497651263"
"3","0.132266217734504","0.113388879962367","0.148725860383938","0.53358782333343","0.484655407099617","0.571088364176667","0.0109790171607322","0.0109954432630682","0.0109641292997216"
"4","0.15133200841838","0.132485292210243","0.167764951328322","0.552344319142116","0.502632804384425","0.590441940985317","0.0301382827760357","0.030400474197014","0.0299006445735059"
"5","0.176067310969683","0.158017511900775","0.191805401062388","0.562624938077338","0.512465522799728","0.601065819318576","0.0592420720634505","0.0602625372010027","0.0583171695623414"
"6","0.206115949294952","0.189749362614047","0.220386402650737","0.56930967159134","0.519186338073575","0.607722900703111","0.0963517371799426","0.0988923054125144","0.0940490833938659"
"7","0.237425631333397","0.222660159554595","0.250300030889256","0.574179949684801","0.52428627717878","0.612417172524784","0.135651921709627","0.139473196754714","0.132188494379709"
"8","0.268857495297574","0.255694852321982","0.280334346658475","0.578350865945935","0.52845040656231","0.616593290073743","0.175322574679333","0.180470245372257","0.170656963554008"
"9","0.299873219344961","0.28839560711859","0.309880848492419","0.582181814649688","0.532363792671132","0.62036106087798","0.214554066962611","0.221110411341212","0.208611699025921"
"10","0.330268565791586","0.320237802552641","0.339014649609496","0.585832094880089","0.536321954364724","0.623775388701492","0.253032292988283","0.260642882722681","0.246134405719792"
"11","0.359676988860255","0.351393731258336","0.366899376982272","0.5894104962555","0.540275638499839","0.627066183056012","0.290247051370645","0.299301053359513","0.282040921855396"
"12","0.387285595517411","0.380148210382857","0.393508867579616","0.59290730541714","0.54397410180177","0.630408449689279","0.325142712545259","0.334965855345213","0.316239469298535"
"13","0.413819361912783","0.407898939722744","0.418981532275897","0.596378859845946","0.547717340688469","0.633671792161801","0.358646328282007","0.369337729534818","0.348956135648082"
"14","0.438774231245751","0.433932550337519","0.442995818978832","0.599922293129741","0.551545653186231","0.636996901368819","0.390072150343256","0.401495449437508","0.379718599286593"
"15","0.462144342390726","0.458372938054022","0.465432728095213","0.603459898398267","0.555539635347638","0.640184751165847","0.419436030785869","0.431574852739599","0.408433962834333"
